month,GEP_monthly,n_articles,n_gep_articles,n_trading_days,GEP_norm,GEP_norm_mean
2002-07,0.0004801995532542695,100894.0,52315.0,31.0,120.01381628668737,0.00040012022624726415
2002-08,0.00044310229829951054,88486.0,45317.0,31.0,110.74228925025264,0.00040012022624726415
2002-09,0.00043145511248489496,89164.0,45640.0,30.0,107.83136771952803,0.00040012022624726415
2002-10,0.0004833167195536913,103840.0,54432.0,31.0,120.79287370366872,0.00040012022624726415
2002-11,0.0004560023115782756,99286.0,50859.0,30.0,113.96632353608582,0.00040012022624726415
2002-12,0.0004326558995129551,85048.0,43061.0,31.0,108.13147427483077,0.00040012022624726415
2003-01,0.00044728018764062953,179480.0,84371.0,31.0,111.78644774738824,0.00040012022624726415
2003-02,0.00038474652640218616,186898.0,83088.0,28.0,96.15772989302035,0.00040012022624726415
2003-03,0.0003734129934177603,162502.0,70891.0,31.0,93.32519800861067,0.00040012022624726415
2003-04,0.0003820237733189592,91239.0,40300.0,30.0,95.47724615222981,0.00040012022624726415
2003-05,0.0004757782053197398,101223.0,49580.0,31.0,118.90881142952293,0.00040012022624726415
2003-06,0.0003968424201540394,94448.0,42502.0,30.0,99.1807947016407,0.00040012022624726415
2003-07,0.0003620650368254193,103697.0,44200.0,31.0,90.48906130570671,0.00040012022624726415
2003-08,0.00043806671310070184,94501.0,43886.0,31.0,109.48377121780084,0.00040012022624726415
2003-09,0.0004411691762046648,107409.0,51041.0,30.0,110.25915394040426,0.00040012022624726415
2003-10,0.0003803342555541259,113103.0,49798.0,31.0,95.05499362561316,0.00040012022624726415
2003-11,0.0003800414914157529,103626.0,45577.0,30.0,94.9818245831184,0.00040012022624726415
2003-12,0.00047603283799563007,97398.0,47638.0,31.0,118.9724504707877,0.00040012022624726415
2004-01,0.00035225074677100075,187194.0,79616.0,31.0,88.03622603005296,0.00040012022624726415
2004-02,0.00035502904266165885,174978.0,72897.0,29.0,88.73059130039077,0.00040012022624726415
2004-03,0.0003580704576101334,115781.0,48152.0,31.0,89.49071656998788,0.00040012022624726415
2004-04,0.00035791614138756274,102206.0,43155.0,30.0,89.45214910639875,0.00040012022624726415
2004-05,0.0003488856760734132,102103.0,43478.0,30.0,87.19521113581763,0.00040012022624726415
2004-06,0.00034784948377159246,99997.0,42202.0,30.0,86.9362408979121,0.00040012022624726415
2004-07,0.00037014392503192814,106721.0,44416.0,31.0,92.50817648073321,0.00040012022624726415
2004-08,0.0003430305721920197,104852.0,44412.0,31.0,85.7318749940013,0.00040012022624726415
2004-09,0.00034748270589932134,101803.0,43165.0,30.0,86.84457398176762,0.00040012022624726415
2004-10,0.0003647847938262764,103650.0,42679.0,30.0,91.16879625096699,0.00040012022624726415
2004-11,0.00035182120347785565,111094.0,47254.0,30.0,87.92887247355475,0.00040012022624726415
2004-12,0.00034493243868775176,96221.0,40686.0,31.0,86.20719875195519,0.00040012022624726415
2005-01,0.00036012114699513506,203334.0,84613.0,31.0,90.00323487085838,0.00040012022624726415
2005-02,0.0003951893556826149,106162.0,45665.0,28.0,98.76765276004765,0.00040012022624726415
2005-03,0.0003702242961635416,117666.0,48938.0,31.0,92.5282632262515,0.00040012022624726415
2005-04,0.0003549499136127175,113621.0,47489.0,30.0,88.71081498223673,0.00040012022624726415
2005-05,0.0003909534971199388,113464.0,48628.0,31.0,97.70900631210266,0.00040012022624726415
2005-06,0.0003723544576140601,112614.0,47322.0,30.0,93.06064357365291,0.00040012022624726415
2005-07,0.00035889307502406486,108990.0,45607.0,31.0,89.69630912941604,0.00040012022624726415
2005-08,0.0003759663953034011,110980.0,46814.0,31.0,93.96335667146789,0.00040012022624726415
2005-09,0.0003817856720445026,114566.0,48914.0,30.0,95.41773871950396,0.00040012022624726415
2005-10,0.0003626442114958745,121514.0,50705.0,31.0,90.633811466399,0.00040012022624726415
2005-11,0.0003718119209062961,123307.0,51660.0,30.0,92.92505015143267,0.00040012022624726415
2005-12,0.000378940992660847,104698.0,44661.0,31.0,94.70678256256684,0.00040012022624726415
2006-01,0.0003934711303285708,160945.0,66797.0,31.0,98.33822549260873,0.00040012022624726415
2006-02,0.000396732177336656,121067.0,49816.0,28.0,99.15324227860593,0.00040012022624726415
2006-03,0.0003943858164207749,130400.0,53353.0,31.0,98.56682830551398,0.00040012022624726415
2006-04,0.0003904386447912916,114533.0,47251.0,30.0,97.58033190504356,0.00040012022624726415
2006-05,0.0004020893605975074,137201.0,56948.0,31.0,100.4921356684994,0.00040012022624726415
2006-06,0.00038949919586280386,132484.0,54180.0,30.0,97.3455402432226,0.00040012022624726415
2006-07,0.0003915968192122034,126879.0,52332.0,31.0,97.86978850956825,0.00040012022624726415
2006-08,0.00040372714121333843,133065.0,55193.0,31.0,100.90145779429938,0.00040012022624726415
2006-09,0.00038962485312268343,122526.0,50349.0,30.0,97.3769451189666,0.00040012022624726415
2006-10,0.0003901628154697565,142953.0,58716.0,31.0,97.51139529463471,0.00040012022624726415
2006-11,0.00039831116797951315,146299.0,60606.0,30.0,99.54787132739622,0.00040012022624726415
2006-12,0.0003941308187042261,113768.0,46507.0,31.0,98.50309803150597,0.00040012022624726415
